STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
동진쎄미켐,-0.01,-0.037,-0.082,-0.125,-0.347,-0.667
롯데칠성,0.041,0.011,0.067,-0.217,-0.062,-0.323
롯데칠성우,0.013,-0.013,0.006,-0.444,-0.518,-0.672
국동,-0.003,-0.061,-0.021,-0.424,-0.649,-0.828
모나미,-0.027,-0.068,-0.153,0.444,0.189,-0.538
현대차,-0.009,-0.026,0.039,-0.32,-0.289,-0.579
현대차우,-0.018,-0.081,-0.015,0.048,-0.255,-0.665
현대차2우B,-0.016,-0.071,-0.021,-0.204,-0.147,-0.429
현대차3우B,-0.01,-0.06,-0.005,-0.147,-0.221,-0.515
신성통상,-0.022,-0.015,-0.062,0.074,0.151,-0.309
코스모화학,-0.037,-0.088,-0.08,0.211,-0.114,-0.742
한국공항,0.004,-0.012,-0.005,-0.407,-0.464,-0.696
현대그린푸드,0.009,0.047,0.067,-0.405,0.058,0.027
POSCO,0.056,0.137,0.153,0.066,0.804,0.933
삼진제약,-0.013,-0.046,-0.074,-0.434,-0.482,-0.675
SPC삼립,-0.002,-0.006,-0.009,-0.351,-0.463,-0.677
푸드웰,0.025,0.001,-0.033,-0.378,-0.693,-0.953
삼영전자,-0.006,-0.048,0.007,-0.389,-0.915,-0.837
파미셀,0.032,0.069,-0.013,0.634,0.013,0.06
대원산업,0.004,0.078,0.126,-0.635,0.32,2.116
넥센,-0.005,-0.007,0.002,0.068,-0.183,-0.033
넥센우,-0.018,-0.034,-0.059,3.249,3.861,2.108
크라운해태홀딩스,0.005,-0.013,0.015,-0.558,-0.77,-0.824
크라운해태홀딩스우,0.015,-0.019,-0.022,-0.201,-0.374,-0.683
대림B&Co,0.0,-0.036,-0.084,-0.098,-0.86,-0.835
신영와코루,0.009,-0.012,-0.073,0.268,-0.182,0.282
풍산홀딩스,-0.015,-0.036,-0.18,-0.15,-0.563,-0.694
원림,0.051,0.099,0.116,0.417,1.333,1.768
DB손해보험,0.024,0.091,0.041,0.028,0.127,0.31
에스엘,-0.017,-0.059,0.098,-0.452,-0.648,-0.774
한일사료,0.013,0.019,0.011,-0.114,-0.21,-0.389
휴니드,0.006,-0.023,0.036,-0.582,-0.782,-0.799
대한해운,0.033,0.035,0.048,2.349,4.482,1.857
삼성전자,-0.01,-0.011,0.006,-0.223,-0.121,-0.289
삼성전자우,-0.011,-0.025,-0.018,0.219,0.277,-0.272
NH투자증권,-0.005,-0.034,-0.05,-0.274,-0.182,-0.476
NH투자증권우,0.004,-0.006,-0.025,-0.134,-0.181,-0.54
이수화학,-0.01,-0.097,-0.131,-0.178,-0.695,-0.79
동부건설,0.004,-0.051,-0.094,0.274,0.226,-0.233
동부건설우,0.001,-0.023,-0.052,-0.563,-0.577,-0.769
매일홀딩스,0.006,-0.007,0.01,-0.342,-0.375,-0.564
동원산업,-0.02,-0.033,0.043,-0.077,-0.481,-0.652
국영지앤엠,0.016,0.039,0.025,-0.194,-0.633,-0.632
화승인더,0.019,0.075,0.126,-0.443,-0.318,-0.128
사조오양,0.022,0.013,0.02,-0.388,-0.419,-0.423
삼아알미늄,-0.014,-0.077,-0.076,-0.231,-0.139,-0.893
SK디스커버리,-0.047,-0.09,-0.08,-0.284,-0.29,-0.232
